obs_month,neighborhood,signal_type,metric,value,is_imputed,source_id
2016-02-01,gaslamp,observation,observed_total_units,50.0,false,A
2016-02-01,marina,observation,observed_individuals,33.0,false,A
2016-02-01,marina,observation,observed_total_units,33.0,false,A
2016-03-01,columbia,observation,observed_individuals,65.0,false,A
2016-03-01,columbia,observation,observed_total_units,65.0,false,A
2016-03-01,core,observation,observed_individuals,123.0,false,A
2016-03-01,core,observation,observed_total_units,123.0,false,A
2016-03-01,cortez,observation,observed_individuals,44.0,false,A
2016-03-01,cortez,observation,observed_total_units,44.0,false,A
2016-03-01,east_village,observation,observed_individuals,547.0,false,A
2016-03-01,east_village,observation,observed_total_units,547.0,false,A
2016-03-01,gaslamp,observation,observed_individuals,34.0,false,A
2016-03-01,gaslamp,observation,observed_total_units,34.0,false,A
2016-03-01,marina,observation,observed_individuals,22.0,false,A
2016-03-01,marina,observation,observed_total_units,22.0,false,A
2016-04-01,columbia,observation,observed_individuals,30.0,false,A
2016-04-01,columbia,observation,observed_total_units,30.0,false,A
2016-04-01,core,observation,observed_individuals,97.0,false,A
2016-04-01,core,observation,observed_total_units,97.0,false,A
2016-04-01,cortez,observation,observed_individuals,30.0,false,A
2016-04-01,cortez,observation,observed_total_units,30.0,false,A
2016-04-01,east_village,observation,observed_individuals,594.0,false,A
2016-04-01,east_village,observation,observed_total_units,594.0,false,A
2016-04-01,gaslamp,observation,observed_individuals,41.0,false,A
2016-04-01,gaslamp,observation,observed_total_units,41.0,false,A
2016-04-01,marina,observation,observed_individuals,27.0,false,A
2016-04-01,marina,observation,observed_total_units,27.0,false,A
2016-05-01,columbia,observation,observed_individuals,54.0,false,A
2016-05-01,columbia,observation,observed_total_units,54.0,false,A
2016-05-01,core,observation,observed_individuals,167.0,false,A
2016-05-01,core,observation,observed_total_units,167.0,false,A
2016-05-01,cortez,observation,observed_individuals,66.0,false,A
2016-05-01,cortez,observation,observed_total_units,66.0,false,A
2016-05-01,east_village,observation,observed_individuals,787.0,false,A
2016-05-01,east_village,observation,observed_total_units,787.0,false,A
2016-05-01,gaslamp,observation,observed_individuals,38.0,false,A
2016-05-01,gaslamp,observation,observed_total_units,38.0,false,A
2016-05-01,marina,observation,observed_individuals,38.0,false,A
2016-05-01,marina,observation,observed_total_units,38.0,false,A
2016-06-01,columbia,observation,observed_individuals,74.0,false,A
2016-06-01,columbia,observation,observed_total_units,74.0,false,A
2016-06-01,core,observation,observed_individuals,97.0,false,A
