obs_month,geo_block,neighborhood,signal_type,metric,value,is_imputed,source_id
2014-03-01,10100US060730052002012,east_village,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730052002013,east_village,observation,observed_total_units,4.0,false,A
2014-03-01,10100US060730052002014,core,observation,observed_total_units,5.0,false,A
2014-03-01,10100US060730052002017,east_village,observation,observed_total_units,19.0,false,A
2014-03-01,10100US060730053001001,cortez,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730053001002,cortez,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730053001004,cortez,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730053001006,core,observation,observed_total_units,2.0,false,A
2014-03-01,10100US060730053001007,core,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730053001008,core,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730053001009,core,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730053001011,core,observation,observed_total_units,2.0,false,A
2014-03-01,10100US060730053001015,core,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730053001016,core,observation,observed_total_units,3.0,false,A
2014-03-01,10100US060730053001017,core,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730053001018,core,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730053002000,core,observation,observed_total_units,20.0,false,A
2014-03-01,10100US060730053002003,gaslamp,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730053002004,gaslamp,observation,observed_total_units,3.0,false,A
2014-03-01,10100US060730053002005,gaslamp,observation,observed_total_units,4.0,false,A
2014-03-01,10100US060730053002006,gaslamp,observation,observed_total_units,2.0,false,A
2014-03-01,10100US060730053002007,east_village,observation,observed_total_units,2.0,false,A
2014-03-01,10100US060730053002008,east_village,observation,observed_total_units,6.0,false,A
2014-03-01,10100US060730053002009,east_village,observation,observed_total_units,29.0,false,A
2014-03-01,10100US060730053002010,east_village,observation,observed_total_units,3.0,false,A
2014-03-01,10100US060730053002013,gaslamp,observation,observed_total_units,3.0,false,A
2014-03-01,10100US060730053002014,gaslamp,observation,observed_total_units,4.0,false,A
2014-03-01,10100US060730053002015,gaslamp,observation,observed_total_units,4.0,false,A
2014-03-01,10100US060730053002016,gaslamp,observation,observed_total_units,3.0,false,A
2014-03-01,10100US060730053002019,east_village,observation,observed_total_units,2.0,false,A
2014-03-01,10100US060730053003000,cortez,observation,observed_total_units,4.0,false,A
2014-03-01,10100US060730053003001,cortez,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730053003002,cortez,observation,observed_total_units,2.0,false,A
2014-03-01,10100US060730053003003,cortez,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730053003004,cortez,observation,observed_total_units,5.0,false,A
2014-03-01,10100US060730053003005,core,observation,observed_total_units,8.0,false,A
2014-03-01,10100US060730053003006,core,observation,observed_total_units,7.0,false,A
2014-03-01,10100US060730053003007,core,observation,observed_total_units,6.0,false,A
2014-03-01,10100US060730053003008,core,observation,observed_total_units,13.0,false,A
2014-03-01,10100US060730053003009,core,observation,observed_total_units,3.0,false,A
2014-03-01,10100US060730053003010,core,observation,observed_total_units,13.0,false,A
2014-03-01,10100US060730053003014,core,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730053003016,core,observation,observed_total_units,8.0,false,A
2014-03-01,10100US060730053003018,core,observation,observed_total_units,3.0,false,A
2014-03-01,10100US060730053003019,core,observation,observed_total_units,3.0,false,A
2014-03-01,10100US060730053003022,core,observation,observed_total_units,4.0,false,A
2014-03-01,10100US060730053003028,core,observation,observed_total_units,5.0,false,A
2014-03-01,10100US060730053003029,marina,observation,observed_total_units,2.0,false,A
2014-03-01,10100US060730053004000,marina,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730053004001,marina,observation,observed_total_units,4.0,false,A
2014-03-01,10100US060730053004002,marina,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730053004003,marina,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730053004005,marina,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730054001004,marina,observation,observed_total_units,4.0,false,A
2014-03-01,10100US060730054001005,marina,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730054001010,marina,observation,observed_total_units,4.0,false,A
2014-03-01,10100US060730054001012,marina,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730054001013,gaslamp,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730054002000,core,observation,observed_total_units,12.0,false,A
2014-03-01,10100US060730054002001,core,observation,observed_total_units,1.0,false,A
